{'academic_degree': 'Доктор наук', 'address': 'Аллея Плетешковская 439', 'age': 18, 'passport_number': 102808, 'snils': '00060862696', 'telephone': '+7-(968)-542-59-85', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 87, 'worldview': 'Пантеизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Смольная 386', 'age': 18, 'passport_number': 815894, 'snils': '43331226534', 'telephone': '+7-(968)-053-99-61', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 44, 'worldview': 'Буддизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Маршала Новикова 548', 'age': 18, 'passport_number': 968719, 'snils': '31741573362', 'telephone': '+7-(909)-131-02-31', 'university': 'МФТИ', 'weight': 53, 'worldview': 'Агностицизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Кетчерская 92', 'age': 18, 'passport_number': 224246, 'snils': '78025505800', 'telephone': '+7-(960)-610-42-33', 'university': 'Бауманское МГТУ', 'weight': 49, 'worldview': 'Деизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Братская 349', 'age': 18, 'passport_number': 960864, 'snils': '68499665500', 'telephone': '+7-(928)-108-54-95', 'university': 'САУ им. С.П. Королева', 'weight': 60, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Заболотье 775', 'age': 18, 'passport_number': 767843, 'snils': '52435336670', 'telephone': '+7-(909)-109-14-38', 'university': 'Филиал Российской правовой академии', 'weight': 80, 'worldview': 'Атеизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Басманная 773', 'age': 18, 'passport_number': 155950, 'snils': '35712639284', 'telephone': '+7-(912)-683-61-12', 'university': 'Госуниверситет гражданской авиации', 'weight': 66, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Богатырский Мост 97', 'age': 18, 'passport_number': 705962, 'snils': '36114457254', 'telephone': '+7-(961)-632-79-02', 'university': 'МГУ им. Ломоносова', 'weight': 90, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Комсомольская 44', 'age': 18, 'passport_number': 854479, 'snils': '28685938359', 'telephone': '+7-(934)-119-88-23', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 87, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Москворецкая 244', 'age': 18, 'passport_number': 348487, 'snils': '84370805714', 'telephone': '+7-(954)-361-63-12', 'university': 'Бауманское МГТУ', 'weight': 43, 'worldview': 'Атеизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Пугачевская 2-я 948', 'age': 18, 'passport_number': 568873, 'snils': '81504146466', 'telephone': '+7-(909)-521-66-50', 'university': 'Университет аэрокосмического приборостроения', 'weight': 54, 'worldview': 'Иудаизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Павла Корчагина 1377', 'age': 18, 'passport_number': 245528, 'snils': '84670418526', 'telephone': '+7-(999)-109-02-45', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 79, 'worldview': 'Иудаизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Алешкинская 696', 'age': 18, 'passport_number': 459909, 'snils': '80563492710', 'telephone': '+7-(968)-338-11-16', 'university': 'Московский авиационный институт', 'weight': 43, 'worldview': 'Буддизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Сретенские Ворота 1262', 'age': 18, 'passport_number': 976960, 'snils': '55682444928', 'telephone': '+7-(921)-001-85-88', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 75, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Черногрязская 2-я 396', 'age': 18, 'passport_number': 290809, 'snils': '15021941217', 'telephone': '+7-(968)-533-38-79', 'university': 'МГУ им. Ломоносова', 'weight': 82, 'worldview': 'Католицизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Аргуновская 632', 'age': 18, 'passport_number': 855233, 'snils': '86922152026', 'telephone': '+7-(932)-361-80-16', 'university': 'Бауманское МГТУ', 'weight': 54, 'worldview': 'Деизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Устьинская 427', 'age': 18, 'passport_number': 202585, 'snils': '40921210834', 'telephone': '+7-(934)-513-50-05', 'university': 'Бауманское МГТУ', 'weight': 84, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Фестивальная 1216', 'age': 18, 'passport_number': 950483, 'snils': '73253144271', 'telephone': '+7-(999)-260-94-20', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 66, 'worldview': 'Католицизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Старокачаловская 986', 'age': 18, 'passport_number': 689024, 'snils': '87168163441', 'telephone': '+7-(913)-598-37-01', 'university': 'Новосибирский технический госуниверситет', 'weight': 86, 'worldview': 'Буддизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Северная 241', 'age': 18, 'passport_number': 681183, 'snils': '75356982652', 'telephone': '+7-(968)-957-60-86', 'university': 'МГУ им. Ломоносова', 'weight': 49, 'worldview': 'Католицизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Сокольническая 4-я 945', 'age': 18, 'passport_number': 468532, 'snils': '90320643661', 'telephone': '+7-(968)-772-74-60', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 75, 'worldview': 'Иудаизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Кабельная 3-я 430', 'age': 18, 'passport_number': 955058, 'snils': '62869652654', 'telephone': '+7-(966)-970-75-82', 'university': 'МГУ им. Ломоносова', 'weight': 45, 'worldview': 'Агностицизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Ивана Сусанина 483', 'age': 18, 'passport_number': 326571, 'snils': '16963482619', 'telephone': '+7-(999)-374-08-21', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 69, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Налесная 1377', 'age': 18, 'passport_number': 393493, 'snils': '11796957619', 'telephone': '+7-(926)-470-33-65', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 77, 'worldview': 'Пантеизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Академика Янгеля 99', 'age': 18, 'passport_number': 320277, 'snils': '41026308316', 'telephone': '+7-(968)-500-98-89', 'university': 'Бауманское МГТУ', 'weight': 89, 'worldview': 'Буддизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Коптевская 1058', 'age': 18, 'passport_number': 549801, 'snils': '56894959898', 'telephone': '+7-(997)-720-88-23', 'university': 'Ульяновский высший авиационный институт гражданской авиации', 'weight': 85, 'worldview': 'Деизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Новобутаково 578', 'age': 18, 'passport_number': 648506, 'snils': '93978303167', 'telephone': '+7-(964)-181-10-28', 'university': 'МГУ им. Ломоносова', 'weight': 65, 'worldview': 'Католицизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Молодежная 539', 'age': 18, 'passport_number': 371378, 'snils': '05224507322', 'telephone': '+7-(909)-251-17-42', 'university': 'МГУ им. Ломоносова', 'weight': 78, 'worldview': 'Деизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Европы 362', 'age': 18, 'passport_number': 940852, 'snils': '45913789028', 'telephone': '+7-(990)-475-60-08', 'university': 'Томский национальный исследовательский политех', 'weight': 81, 'worldview': 'Иудаизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Усачева 109', 'age': 18, 'passport_number': 134850, 'snils': '78147648346', 'telephone': '+7-(999)-263-75-49', 'university': 'Ульяновский высший авиационный институт гражданской авиации', 'weight': 67, 'worldview': 'Буддизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Судакова 762', 'age': 18, 'passport_number': 142416, 'snils': '54560277494', 'telephone': '+7-(938)-143-18-29', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 58, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Болотниковская 847', 'age': 18, 'passport_number': 279498, 'snils': '07895706938', 'telephone': '+7-(916)-332-56-34', 'university': 'МГУ им. Ломоносова', 'weight': 54, 'worldview': 'Буддизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Канатчиковская 137', 'age': 18, 'passport_number': 932142, 'snils': '54633806903', 'telephone': '+7-(961)-871-21-99', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 71, 'worldview': 'Буддизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Оршанская 1320', 'age': 18, 'passport_number': 796786, 'snils': '76040637081', 'telephone': '+7-(968)-105-75-63', 'university': 'МГУ им. Ломоносова', 'weight': 47, 'worldview': 'Буддизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Звонарская 799', 'age': 18, 'passport_number': 544118, 'snils': '23963686822', 'telephone': '+7-(931)-379-56-91', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 69, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Старосадская 833', 'age': 18, 'passport_number': 116629, 'snils': '18109966797', 'telephone': '+7-(964)-459-88-58', 'university': 'Госуниверситет гражданской авиации', 'weight': 53, 'worldview': 'Буддизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Кировоградская 642', 'age': 18, 'passport_number': 214896, 'snils': '01179757159', 'telephone': '+7-(932)-110-81-17', 'university': 'СПбГУ', 'weight': 41, 'worldview': 'Деизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Касимовская 151', 'age': 18, 'passport_number': 382571, 'snils': '58328762131', 'telephone': '+7-(947)-817-27-12', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 69, 'worldview': 'Буддизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Попов 1178', 'age': 18, 'passport_number': 999108, 'snils': '50467703279', 'telephone': '+7-(965)-012-13-19', 'university': 'Санкт-Петербургский политехнический университет', 'weight': 52, 'worldview': 'Пантеизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Саввинская 633', 'age': 18, 'passport_number': 570847, 'snils': '59115205274', 'telephone': '+7-(928)-452-49-32', 'university': 'Госуниверситет гражданской авиации', 'weight': 48, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Аптекарская 5', 'age': 18, 'passport_number': 400461, 'snils': '25689615735', 'telephone': '+7-(993)-573-68-78', 'university': 'Филиал Российской академии правосудия', 'weight': 89, 'worldview': 'Агностицизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Стекольная 1-я 911', 'age': 18, 'passport_number': 899517, 'snils': '29461373299', 'telephone': '+7-(909)-109-84-19', 'university': 'СПбГУ', 'weight': 51, 'worldview': 'Католицизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Академика Челомея 873', 'age': 18, 'passport_number': 438733, 'snils': '08978680964', 'telephone': '+7-(928)-923-08-32', 'university': 'Филиал Российской правовой академии', 'weight': 49, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Магистр', 'address': 'ул. Коровий Вал 142', 'age': 18, 'passport_number': 604167, 'snils': '23808963501', 'telephone': '+7-(978)-863-39-29', 'university': 'Госуниверситет гражданской авиации', 'weight': 85, 'worldview': 'Буддизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Вятская 732', 'age': 18, 'passport_number': 532707, 'snils': '87927593190', 'telephone': '+7-(960)-337-33-62', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 56, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Паршина 1234', 'age': 18, 'passport_number': 401503, 'snils': '65738044120', 'telephone': '+7-(968)-198-84-25', 'university': 'Ульяновский высший авиационный институт гражданской авиации', 'weight': 82, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Чоботовская 11-я 552', 'age': 18, 'passport_number': 396460, 'snils': '44826458011', 'telephone': '+7-(923)-446-52-95', 'university': 'СПбГУ', 'weight': 69, 'worldview': 'Пантеизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Анатолия Живова 643', 'age': 18, 'passport_number': 213184, 'snils': '66901405600', 'telephone': '+7-(965)-537-00-65', 'university': 'САУ им. С.П. Королева', 'weight': 89, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Курьяновская 4-я 1372', 'age': 18, 'passport_number': 983296, 'snils': '26001660315', 'telephone': '+7-(909)-368-25-02', 'university': 'Новосибирский технический госуниверситет', 'weight': 89, 'worldview': 'Пантеизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Саянская 329', 'age': 18, 'passport_number': 769815, 'snils': '89060577336', 'telephone': '+7-(973)-395-86-15', 'university': 'Бауманское МГТУ', 'weight': 67, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Водопроводная 847', 'age': 18, 'passport_number': 708563, 'snils': '61968627346', 'telephone': '+7-(969)-616-76-83', 'university': 'Санкт-Петербургский политехнический университет', 'weight': 74, 'worldview': 'Иудаизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Варварские Ворота 559', 'age': 18, 'passport_number': 641968, 'snils': '35413391056', 'telephone': '+7-(968)-754-39-48', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 77, 'worldview': 'Католицизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Ножовая 767', 'age': 18, 'passport_number': 350672, 'snils': '79032110776', 'telephone': '+7-(926)-443-91-26', 'university': 'Бауманское МГТУ', 'weight': 88, 'worldview': 'Пантеизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Коломенское 467', 'age': 18, 'passport_number': 875056, 'snils': '58924739360', 'telephone': '+7-(960)-714-37-24', 'university': 'Московский авиационный институт', 'weight': 41, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Дубровская 14', 'age': 18, 'passport_number': 910593, 'snils': '31395692695', 'telephone': '+7-(937)-299-72-54', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 52, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Моховая 944', 'age': 18, 'passport_number': 668208, 'snils': '02592332746', 'telephone': '+7-(911)-037-27-53', 'university': 'Томский национальный исследовательский политех', 'weight': 53, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Коненкова 1167', 'age': 18, 'passport_number': 568321, 'snils': '88831776983', 'telephone': '+7-(912)-662-23-51', 'university': 'Бауманское МГТУ', 'weight': 47, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Вольская 2-я 659', 'age': 18, 'passport_number': 159277, 'snils': '80258182794', 'telephone': '+7-(936)-225-64-96', 'university': 'МФТИ', 'weight': 80, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Сеченовская 1086', 'age': 18, 'passport_number': 974218, 'snils': '36178684119', 'telephone': '+7-(963)-405-92-66', 'university': 'Филиал Российской академии правосудия', 'weight': 56, 'worldview': 'Иудаизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Страстной 312', 'age': 18, 'passport_number': 728763, 'snils': '84492469046', 'telephone': '+7-(924)-449-58-80', 'university': 'Томский национальный исследовательский политех', 'weight': 53, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Специалист', 'address': 'Аллея Вольная 783', 'age': 18, 'passport_number': 594079, 'snils': '04176951972', 'telephone': '+7-(968)-959-53-69', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 75, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Кондрашевская 1204', 'age': 18, 'passport_number': 354570, 'snils': '54904704802', 'telephone': '+7-(909)-908-10-86', 'university': 'Московский авиационный институт', 'weight': 62, 'worldview': 'Буддизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Приютская 77', 'age': 18, 'passport_number': 213167, 'snils': '56150525065', 'telephone': '+7-(968)-702-44-86', 'university': 'Бауманское МГТУ', 'weight': 82, 'worldview': 'Пантеизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Шипиловская 215', 'age': 18, 'passport_number': 852195, 'snils': '90517377810', 'telephone': '+7-(963)-248-34-53', 'university': 'Московский авиационный институт', 'weight': 43, 'worldview': 'Атеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Академика Бакулева 200', 'age': 18, 'passport_number': 967351, 'snils': '08364432170', 'telephone': '+7-(968)-776-48-21', 'university': 'Ульяновский высший авиационный институт гражданской авиации', 'weight': 54, 'worldview': 'Атеизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Амурская 1295', 'age': 18, 'passport_number': 118172, 'snils': '68634425028', 'telephone': '+7-(911)-659-71-22', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 51, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Специалист', 'address': 'Аллея Всеволода Вишневского 387', 'age': 18, 'passport_number': 931959, 'snils': '71731712279', 'telephone': '+7-(999)-161-21-30', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 87, 'worldview': 'Пантеизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Дроболитейная 21', 'age': 18, 'passport_number': 502347, 'snils': '54598944262', 'telephone': '+7-(939)-048-30-60', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 72, 'worldview': 'Атеизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Маршала Бабаджаняна 1014', 'age': 18, 'passport_number': 246983, 'snils': '09875484849', 'telephone': '+7-(910)-945-99-05', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 83, 'worldview': 'Деизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Молокова 245', 'age': 18, 'passport_number': 142790, 'snils': '22330365517', 'telephone': '+7-(909)-260-05-98', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 81, 'worldview': 'Буддизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Академика Туполева 484', 'age': 18, 'passport_number': 369646, 'snils': '04448968800', 'telephone': '+7-(918)-550-00-28', 'university': 'Санкт-Петербургский политехнический университет', 'weight': 74, 'worldview': 'Деизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Бестужевых 947', 'age': 18, 'passport_number': 646754, 'snils': '34201166617', 'telephone': '+7-(965)-469-90-32', 'university': 'Санкт-Петербургский политехнический университет', 'weight': 46, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Немчинова 1349', 'age': 18, 'passport_number': 381022, 'snils': '36816287314', 'telephone': '+7-(999)-128-64-74', 'university': 'Филиал Российской академии правосудия', 'weight': 88, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Политехническая 145', 'age': 18, 'passport_number': 811173, 'snils': '36033659266', 'telephone': '+7-(963)-936-73-93', 'university': 'САУ им. С.П. Королева', 'weight': 54, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Грузинский Вал 928', 'age': 18, 'passport_number': 872717, 'snils': '48403890505', 'telephone': '+7-(937)-596-89-94', 'university': 'Томский национальный исследовательский политех', 'weight': 67, 'worldview': 'Иудаизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Нагатинская Пойма 1385', 'age': 18, 'passport_number': 133751, 'snils': '61965499449', 'telephone': '+7-(933)-472-96-67', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 77, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Строгинское 888', 'age': 18, 'passport_number': 630511, 'snils': '53229554486', 'telephone': '+7-(931)-525-62-15', 'university': 'СПбГУ', 'weight': 45, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Дежнева 116', 'age': 18, 'passport_number': 596216, 'snils': '25444677088', 'telephone': '+7-(999)-133-16-54', 'university': 'Бауманское МГТУ', 'weight': 81, 'worldview': 'Иудаизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Фабричная 1340', 'age': 18, 'passport_number': 512488, 'snils': '13052591526', 'telephone': '+7-(990)-541-01-50', 'university': 'САУ им. С.П. Королева', 'weight': 64, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Савелкинская 672', 'age': 18, 'passport_number': 490894, 'snils': '49652345224', 'telephone': '+7-(968)-932-16-11', 'university': 'СПбГУ', 'weight': 65, 'worldview': 'Агностицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Красноармейская 781', 'age': 18, 'passport_number': 957009, 'snils': '61149969816', 'telephone': '+7-(968)-047-47-38', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 68, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Лисичанская 939', 'age': 18, 'passport_number': 890705, 'snils': '70466394002', 'telephone': '+7-(924)-693-85-88', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 72, 'worldview': 'Атеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Алымова 965', 'age': 18, 'passport_number': 145390, 'snils': '34560769295', 'telephone': '+7-(920)-779-37-95', 'university': 'Филиал Российской правовой академии', 'weight': 71, 'worldview': 'Католицизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Высотная 668', 'age': 18, 'passport_number': 235955, 'snils': '02979047091', 'telephone': '+7-(922)-641-16-80', 'university': 'Филиал Российской правовой академии', 'weight': 42, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Речников 1001', 'age': 18, 'passport_number': 987813, 'snils': '71567681732', 'telephone': '+7-(963)-279-88-93', 'university': 'Госуниверситет гражданской авиации', 'weight': 49, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Старонародная 435', 'age': 18, 'passport_number': 410725, 'snils': '56967490068', 'telephone': '+7-(968)-950-98-77', 'university': 'Филиал Российской правовой академии', 'weight': 66, 'worldview': 'Атеизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Ветлужская 193', 'age': 18, 'passport_number': 751523, 'snils': '47494450023', 'telephone': '+7-(917)-692-23-65', 'university': 'САУ им. С.П. Королева', 'weight': 70, 'worldview': 'Иудаизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Эрнста Тельмана 378', 'age': 18, 'passport_number': 446204, 'snils': '82559192738', 'telephone': '+7-(900)-615-98-70', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 45, 'worldview': 'Католицизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Казакова 1180', 'age': 18, 'passport_number': 937477, 'snils': '36271588095', 'telephone': '+7-(999)-160-21-75', 'university': 'Филиал Российской академии правосудия', 'weight': 82, 'worldview': 'Пантеизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Мастеркова 65', 'age': 18, 'passport_number': 422554, 'snils': '92519738135', 'telephone': '+7-(999)-668-53-43', 'university': 'Санкт-Петербургский политехнический университет', 'weight': 84, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Пушкарев 419', 'age': 18, 'passport_number': 170313, 'snils': '07456209978', 'telephone': '+7-(909)-252-43-55', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 57, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Камчатская 1210', 'age': 18, 'passport_number': 666125, 'snils': '69975694113', 'telephone': '+7-(968)-920-18-06', 'university': 'Университет аэрокосмического приборостроения', 'weight': 48, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Каланчевская 911', 'age': 18, 'passport_number': 880523, 'snils': '15790420982', 'telephone': '+7-(905)-907-93-97', 'university': 'Томский национальный исследовательский политех', 'weight': 46, 'worldview': 'Католицизм'}
